header,price,is_prescription,img_srcСироп Шиповника с витамином С Консумед (Consumed), флакон 250мл БАД,175 руб.,False,https://farmani.ru//upload/resize_cache/iblock/f22/170_170_1/t4eeqm01ftmdhqwpkygor82tnmrko8hi.jpg
Аскорбиновая кислота Консумед (Consumed), таблетки 2,6г со вкусом клубники, 10 шт БАД,30 руб.,False,https://farmani.ru//upload/resize_cache/iblock/28a/170_170_1/l2dhxfl54i2zynowv43ky4829ve6h7kg.JPG
Сульфацил натрия-СОЛОфарм, капли глазные 20%, флакон-капельница 5мл,151 руб.,False,https://farmani.ru//upload/resize_cache/iblock/3be/170_170_1/hyl6vtesf9wv6vagfnerzwcdkx0v7kj1.jpg
Витамины для взрослых Консумед (Consumed), таблетки шипучие со вкусом лимона и лайма, 20 шт БАД,429 руб.,True,https://farmani.ru//upload/resize_cache/iblock/4e5/170_170_1/qcava9exy9wsh6r3xad1s7pf7t5jsbr7.jpeg
Ибупрофен-Хемоформ, таблетки, покрытые пленочной оболочкой 400мг, 30шт,72.92 руб.,False,https://farmani.ru//upload/resize_cache/iblock/8cd/170_170_1/ztso335cauf6bakjcjgzmt0u49xdo1c0.jpeg
Валидол, таблетки подъязычные 60мг, 10 шт,41 руб.,False,https://farmani.ru//upload/resize_cache/iblock/cdc/170_170_1/r35gs96nhbkggr0ehkikalv6cosdfaj2.png
Ципролет, таблетки, покрытые пленочной оболочкой 500мг, 10 шт,107.65 руб.,True,https://farmani.ru//upload/resize_cache/iblock/ee8/170_170_1/l7wkzvygrxtie1xe7sav04rwbewkzah2.jpeg
Фестал, таблетки, покрытые оболочкой 50мг+25мг+192мг, 20 шт,216 руб.,False,https://farmani.ru//upload/resize_cache/iblock/009/170_170_1/i4ktd74ozfno0asg7oyzpx1z7hrdikh2.jpg
Аскорбиновая кислота Консумед (Consumed), таблетки 2,6г со вкусом вишни, 10 шт БАД,30 руб.,False,https://farmani.ru//upload/resize_cache/iblock/286/170_170_1/h8eqhknymosp5ucbsyzl73scueztb5wb.png
Арбидол, капсулы 100мг, 20 шт,513 руб.,False,https://farmani.ru//upload/resize_cache/iblock/9b8/170_170_1/js2ghoyqetlh1p96giw0fgd02gf0c43r.png
Аскорбиновая кислота Консумед (Consumed), таблетки 2,6г со вкусом малины, 10 шт БАД,30 руб.,False,https://farmani.ru//upload/resize_cache/iblock/5cf/170_170_1/znzh1urga5h455pd5nfnqql2in691zuh.jpg
Алмагель А, суспензия для приема внутрь, флакон 170мл,382 руб.,False,https://farmani.ru//upload/resize_cache/iblock/3c5/170_170_1/5npyntnfluym5tjqsbnpjwxi9xcp1o9z.jpg
Милурит, таблетки 100мг, 50шт,157.93 руб.,True,https://farmani.ru//upload/resize_cache/iblock/f70/170_170_1/8nfhy7dejwgg3wwhijlqedlhgnwpeito.jpeg
Креон 10000, капсулы кишечнорастворимые 10000ЕД, 20 шт,358.61 руб.,False,https://farmani.ru//upload/resize_cache/iblock/e2e/170_170_1/t9pbkj4z5f54ppqhqmo1q3gngl6ewsbw.jpeg
